Temperature_K,Total_pressure_bar,Partial_pressure_CH4_bar,Partial_pressure_N2_bar,CH4_loading_mmol_g,N2_loading_mmol_g,CH4_N2_selectivity
273,0.6900000000000001,0.34500000000000003,0.34500000000000003,0.6504558803740758,0.040477188024023544,16.069690413969095
273,0.7000000000000001,0.35000000000000003,0.35000000000000003,0.6592876759977533,0.039998615057990634,16.482762591702425
273,0.7100000000000001,0.35500000000000004,0.35500000000000004,0.668134222040898,0.039516126490524085,16.90788752286021
273,0.72,0.36,0.36,0.6769949344148756,0.03903020921163146,17.345408802295715
273,0.73,0.365,0.365,0.6858692020136664,0.03854132910666745,17.79568110158958
273,0.74,0.37,0.37,0.6947563887510588,0.038049932020954344,18.259070433252074
273,0.75,0.375,0.375,0.7036558355158501,0.03755644465721457,18.735954426417685
273,0.76,0.38,0.38,0.712566862051128,0.037061275411268205,19.226722613935657
273,0.77,0.385,0.385,0.7214887687629824,0.036564815151018344,19.731776730803155
273,0.78,0.39,0.39,0.7304208384632714,0.03606743794337402,20.251531023912325
273,0.79,0.395,0.395,0.7393623380505289,0.035569501733374406,20.786412573128477
273,0.8,0.4,0.4,0.7483125201325038,0.03507134897947276,21.33686162372855
273,0.81,0.405,0.405,0.7572706245934303,0.03457330724859311,21.903331930278263
273,0.8200000000000001,0.41000000000000003,0.41000000000000003,0.7662358801085668,0.034075689774347225,22.48629111201155
273,0.8300000000000001,0.41500000000000004,0.41500000000000004,0.7752075056083725,0.033578795981450686,23.086221019854495
273,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.7841847116941464,0.03308291197922466,23.70361811519485
273,0.85,0.425,0.425,0.7931667020068373,0.03258831102677174,24.338993860566756
273,0.86,0.43,0.43,0.8021526745503813,0.03209525397224433,24.99287512241141
273,0.87,0.435,0.435,0.8111418229707427,0.03160398966842069,25.665804586097906
273,0.88,0.44,0.44,0.8201333377916527,0.031114755366616405,26.35834118341129
273,0.89,0.445,0.445,0.8291264076078421,0.03062777709080922,27.071060532716434
273,0.9,0.45,0.45,0.8381202202364739,0.03014326999368246,27.804555392037106
273,0.91,0.455,0.455,0.8471139638273267,0.029661438696166314,28.559436125288645
